1,0,1,0,1
2,1,0,1,1
3,1,1,0,1
4,1,0,1,1
5,1,1,1,1
6,1,0,1,1
7,0,0,1,1
8,1,1,1,1
9,1,1,0,1
10,1,0,1,1
11,1,1,1,1
12,1,0,1,0
13,1,1,0,0
14,0,1,1,1
15,1,1,0,0
16,1,0,1,0
17,1,1,1,0
18,0,1,0,0
19,1,1,1,1
20,0,1,1,1
21,1,1,1,1
22,1,1,0,1
23,1,0,0,1
24,1,1,1,0
25,1,1,0,0
26,1,1,1,0
27,0,1,1,1
28,0,1,1,0
29,1,1,0,1
30,0,1,1,1
31,1,1,0,1
32,1,0,0,1
33,1,1,1,1
34,1,1,1,1
35,1,1,0,1
36,1,0,0,1
37,1,1,0,0
38,1,1,1,0
39,1,1,1,0
40,0,1,1,1
41,0,1,1,1
42,1,1,1,0
43,1,0,1,1
44,1,1,0,0
45,1,1,0,1
46,1,1,1,0
47,1,1,0,1
48,1,1,1,1
49,1,1,0,0
50,1,1,1,0
51,1,1,0,1
52,1,1,0,1
53,1,0,1,0
54,1,1,0,1
55,1,1,1,0
56,1,1,1,1
57,1,1,1,0
58,1,1,0,1
59,1,1,0,1
60,1,1,1,1
61,0,0,1,0
62,1,1,1,1
63,1,1,1,1
64,0,1,1,0
65,1,1,0,1
66,1,1,0,1
67,1,1,1,0
68,1,1,0,1
69,1,0,1,1
70,1,0,1,1
71,1,1,0,1
72,1,1,1,1
73,1,1,1,1
74,0,1,1,1
75,1,0,0,1
76,1,1,0,1
77,0,1,1,1
78,1,1,0,1
79,1,0,0,1
80,1,0,1,0
81,1,1,1,0
82,1,0,0,0
83,1,1,0,0
84,0,1,1,1
85,1,0,0,1
86,1,0,1,0
87,1,1,1,1
88,0,1,0,1
89,1,0,0,0
90,1,1,1,1
91,1,1,0,1
92,0,1,1,1
93,1,1,1,1
94,1,1,0,1
95,1,0,1,1
96,1,0,0,1
